County,Sub_County,Zone,School,No_of_Devices,FID
MIGORI COUNTY,NYATIKE                                           ,NDIWA,OWIRO,48,8832
MIGORI COUNTY,KURIA EAST,KEGONGA,KOROMANGUCHA,73,8833
MIGORI COUNTY,KURIA   WEST                                      ,KEHANCHA,KEBOBONO,25,8834
MIGORI COUNTY,NYATIKE                                           ,MUHURU,NYANGWAYO,158,8835
MERU COUNTY,IMENTI SOUTH,KANYAKINE,YURURU,30,8836
MIGORI COUNTY,KURIA EAST,KEGONGA,GIBAROR,107,8837
MIGORI COUNTY,NYATIKE                                           ,NDIWA,NYATUORO,65,8838
MIGORI COUNTY,KURIA   WEST                                      ,KEHANCHA,WIZARA SCHOOL FOR MH,52,8839
MIGORI COUNTY,KURIA EAST,KEGONGA,MAETA S.D.A,85,8840
MIGORI COUNTY,NYATIKE                                           ,MUHURU,OBOLO,55,8841
MERU COUNTY,IMENTI SOUTH,KANYAKINE,KITHAKANARO,37,8842
MIGORI COUNTY,KURIA   WEST                                      ,KOKEHARAKA,NYAMARANYA,117,8843
MIGORI COUNTY,KURIA   WEST                                      ,IKEREGE,NYAMETABURO,86,8844
MIGORI COUNTY,RONGO,OLASI,OLASI,89,8845
MERU COUNTY,IMENTI SOUTH,KANYAKINE,KAIRAA,42,8846
MIGORI COUNTY,KURIA   WEST                                      ,KOKEHARAKA,MASANGORA,88,8847
MIGORI COUNTY,KURIA EAST,KEGONGA,NYAMANCHE,98,8848
MIGORI COUNTY,AWENDO,DEDE,KWE,50,8849
MERU COUNTY,TIGANIA WEST,KIANJAI,KIANDIU,70,8850
MIGORI COUNTY,RONGO,OLASI,KEA,67,8851
MIGORI COUNTY,KURIA EAST,KEGONGA,NYAMAGENGA,68,8852
MERU COUNTY,IMENTI SOUTH,KANYAKINE,GATURI,46,8853
MIGORI COUNTY,KURIA   WEST                                      ,KOKEHARAKA,ST. JOSEPH TUNGAINE,75,8854
MIGORI COUNTY,KURIA   WEST                                      ,IKEREGE,KUGUYI,76,8855
MERU COUNTY,TIGANIA EAST,MIKINDURI,THUURI,51,8856
MIGORI COUNTY,MIGORI SUB-COUNTY,MIGORI,MIGORI MUSLIM,101,8857
MIGORI COUNTY,RONGO,OLASI,NYANDAGO,69,8858
MERU COUNTY,IMENTI SOUTH,KANYAKINE,IGANDENE,49,8859
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,BOHORERA,79,8860
MIGORI COUNTY,AWENDO,DEDE,AGONGO,37,8861
MIGORI COUNTY,KURIA   WEST                                      ,IKEREGE,KEBORUI,60,8862
MERU COUNTY,TIGANIA EAST,MIKINDURI,MAREGA,57,8863
MERU COUNTY,TIGANIA WEST,KIANJAI,KIANJAI,89,8864
MIGORI COUNTY,MIGORI SUB-COUNTY,MIGORI,NYANGUBO,97,8865
MIGORI COUNTY,RONGO,OLASI,KOWERU,39,8866
MERU COUNTY,IMENTI SOUTH,KANYAKINE,KAMURINGI,57,8867
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,MASABA,114,8868
MIGORI COUNTY,AWENDO,DEDE,OMBASA,49,8869
MIGORI COUNTY,KURIA   WEST                                      ,IKEREGE,BINGUTWI,72,8870
MERU COUNTY,TIGANIA WEST,KIANJAI,RWONGO RWA NYANKI,94,8871
MERU COUNTY,TIGANIA EAST,MIKINDURI,KIGURU,65,8872
MIGORI COUNTY,MIGORI SUB-COUNTY,MIGORI,NYAMWARE,84,8873
MIGORI COUNTY,RONGO,OTHO,NYANGERE,79,8874
MIGORI COUNTY,MIGORI SUB-COUNTY,GIRIBE,MUBACHI,56,8875
MIGORI COUNTY,RONGO,OTHO,RATIENY,60,8876
MIGORI COUNTY,KURIA   WEST                                      ,IKEREGE,SORORE,63,8877
MERU COUNTY,IMENTI SOUTH,KANYAKINE,KIONYO,62,8878
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,NYAMAGAGANA,80,8879
MERU COUNTY,TIGANIA EAST,MIKINDURI,MUTEWA,91,8880
MERU COUNTY,TIGANIA WEST,URINGU,URINGU,22,8881
MIGORI COUNTY,AWENDO,DEDE,NYAROMBO,44,8882
MIGORI COUNTY,MIGORI SUB-COUNTY,GIRIBE,MACHICHA,55,8883
MIGORI COUNTY,RONGO,OTHO,SOTA S.D.A,78,8884
MERU COUNTY,TIGANIA EAST,MIKINDURI,MIKINDURI,130,8885
MERU COUNTY,IMENTI SOUTH,KANYAKINE,GIUMPU,66,8886
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,KOMBE,58,8887
MIGORI COUNTY,KURIA   WEST                                      ,IKEREGE,BISHOP MOGENDI-KUGITURA,41,8888
MERU COUNTY,TIGANIA WEST,URINGU,K.K RWANJWEE,27,8889
MIGORI COUNTY,AWENDO,DEDE,WAWAGA,27,8890
MIGORI COUNTY,MIGORI SUB-COUNTY,GIRIBE,BOYA-GIRIBE,55,8891
MERU COUNTY,TIGANIA EAST,MUTHAARA,D.E.B CHARURU,20,8892
MIGORI COUNTY,KURIA   WEST                                      ,IKEREGE,TARAGWITI SALVATION,48,8893
MERU COUNTY,IMENTI SOUTH,MITUNGUU,GAKIIRI,20,8894
MIGORI COUNTY,AWENDO,RANEN,ANG'OGO,56,8895
MERU COUNTY,TIGANIA WEST,URINGU,MWITHANGA,34,8896
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,GETONGANYA,70,8897
MIGORI COUNTY,MIGORI SUB-COUNTY,GOD JOPE,WASIO,60,8898
MIGORI COUNTY,RONGO,CHAM GIWADU,KANYIMACH,55,8899
MERU COUNTY,TIGANIA EAST,MUTHAARA,MWEROMALIA,56,8900
MIGORI COUNTY,KURIA   WEST                                      ,IKEREGE,GUKIPIMO,40,8901
MERU COUNTY,IMENTI SOUTH,MITUNGUU,MAMURU,22,8902
MERU COUNTY,TIGANIA WEST,URINGU,KAMITONGU,35,8903
MIGORI COUNTY,AWENDO,RANEN,KOYIER,45,8904
MIGORI COUNTY,KURIA   WEST                                      ,MISS ZONE/KURIA,ROSABARE,44,8905
MIGORI COUNTY,MIGORI SUB-COUNTY,GOD JOPE,ALARA,88,8906
MIGORI COUNTY,RONGO,CHAM GIWADU,KAMGUNDHO,64,8907
MERU COUNTY,TIGANIA EAST,MUTHAARA,NDULUMA,62,8908
MIGORI COUNTY,KURIA   WEST                                      ,IKEREGE,NYASESE,34,8909
MIGORI COUNTY,AWENDO,RANEN,NYASORE KANGORE,49,8910
MERU COUNTY,IMENTI SOUTH,MITUNGUU,GITARA,30,8911
MERU COUNTY,TIGANIA WEST,URINGU,GIMPINE,36,8912
MIGORI COUNTY,MIGORI SUB-COUNTY,GOD JOPE,NYADUONG,54,8913
MIGORI COUNTY,KURIA   WEST                                      ,MASABA,NYABIRONGO GIRLS,40,8914
MIGORI COUNTY,RONGO,CHAM GIWADU,KAKWARA,50,8915
MIGORI COUNTY,KURIA   WEST                                      ,IKEREGE,SIRORI SIMBA,42,8916
MERU COUNTY,TIGANIA WEST,URINGU,CHAIKURU,48,8917
MERU COUNTY,IMENTI SOUTH,MITUNGUU,NDAMENE,31,8918
MERU COUNTY,TIGANIA EAST,THANGATHA,GACIBINE,30,8919
MIGORI COUNTY,AWENDO,RANEN,NYAMBIJA,45,8920
MIGORI COUNTY,RONGO,CHAM GIWADU,SIGIRIA,45,8921
MIGORI COUNTY,MIGORI SUB-COUNTY,GOD JOPE,KWA,67,8922
MIGORI COUNTY,AWENDO,SARE,SONY SUGAR,129,8923
MERU COUNTY,TIGANIA WEST,URINGU,KIMACHIA,51,8924
MIGORI COUNTY,KURIA   WEST                                      ,KEHANCHA,TARANGANYA,50,8925
MERU COUNTY,TIGANIA EAST,THANGATHA,KALANTINA,30,8926
MERU COUNTY,IMENTI SOUTH,MITUNGUU,NKUMARI,42,8927
MIGORI COUNTY,AWENDO,RANEN,NYANGAYA,33,8928
MIGORI COUNTY,MIGORI SUB-COUNTY,GOD JOPE,KILIMANJARO,60,8929
MIGORI COUNTY,RONGO,CHAM GIWADU,KONDORO,38,8930
MIGORI COUNTY,AWENDO,SARE,SARE,76,8931
MIGORI COUNTY,AWENDO,RANEN,NYANGINJA,31,8932
MERU COUNTY,IMENTI SOUTH,MITUNGUU,KAURONE,52,8933
MIGORI COUNTY,KURIA   WEST                                      ,KEHANCHA,TARANGANYA GIRLS,33,8934
MERU COUNTY,TIGANIA WEST,URINGU,KUNENE,51,8935
MERU COUNTY,TIGANIA EAST,THANGATHA,THANGATHA,32,8936
MIGORI COUNTY,MIGORI SUB-COUNTY,GOD JOPE,KODILA,50,8937
MIGORI COUNTY,RONGO,MINYENYA,KUNA,50,8938
MIGORI COUNTY,AWENDO,SARE,RABUOR KOGELO,56,8939
MIGORI COUNTY,AWENDO,AWENDO,KOMOLORUME,44,8940
MERU COUNTY,IMENTI SOUTH,NKUBU,KIITHE,12,8941
MIGORI COUNTY,KURIA   WEST                                      ,KEHANCHA,NYATECHI,55,8942
MERU COUNTY,TIGANIA WEST,URINGU,URRU,56,8943
MERU COUNTY,TIGANIA EAST,THANGATHA,NGAGE,34,8944
MIGORI COUNTY,MIGORI SUB-COUNTY,GOD JOPE,GODJOPE,57,8945
MIGORI COUNTY,RONGO,MINYENYA,TUK-JOWI,45,8946
MIGORI COUNTY,MIGORI,ANJEGO,MUHAYA FRIENDS,132,8947
MERU COUNTY,IMENTI SOUTH,NKUBU,WESLEY,17,8948
MIGORI COUNTY,AWENDO,AWENDO,RANJIRA,47,8949
MIGORI COUNTY,KURIA   WEST                                      ,KOKEHARAKA,KOKEHARAKA,65,8950
MERU COUNTY,TIGANIA WEST,URINGU,KANTHIARI,60,8951
MERU COUNTY,TIGANIA EAST,THANGATHA,ANTUARIMATA,48,8952
MIGORI COUNTY,MIGORI SUB-COUNTY,MIGORI,NYAMUNDA,103,8953
MIGORI COUNTY,RONGO,MINYENYA,MINYENYA,60,8954
MIGORI COUNTY,MIGORI,ANJEGO,NYASARE,126,8955
MIGORI COUNTY,AWENDO,AWENDO,LIANDA,42,8956
MERU COUNTY,IMENTI SOUTH,NKUBU,MARIMBA,18,8957
MERU COUNTY,TIGANIA WEST,URINGU,ST. RITA,60,8958
MIGORI COUNTY,KURIA   WEST                                      ,KOKEHARAKA,CHACHA MAROA,63,8959
MERU COUNTY,TIGANIA EAST,THANGATHA,LWANJILU,49,8960
MIGORI COUNTY,MIGORI SUB-COUNTY,MIGORI,OCHIENG'ORWA,84,8961
MIGORI COUNTY,RONGO,MINYENYA,OFWANGA,71,8962
MIGORI COUNTY,MIGORI,ANJEGO,VIYALO,34,8963
MERU COUNTY,IMENTI SOUTH,NKUBU,KAGWAMPUNGU,25,8964
MIGORI COUNTY,AWENDO,AWENDO,KOKORE,27,8965
MERU COUNTY,TIGANIA EAST,THANGATHA,IRINDIRO,65,8966
MIGORI COUNTY,RONGO,NYABURU,SANGO,50,8967
MIGORI COUNTY,MIGORI SUB-COUNTY,MIGORI,WITHARAGA,86,8968
MIGORI COUNTY,KURIA   WEST                                      ,KOKEHARAKA,IHORE,63,8969
MERU COUNTY,TIGANIA WEST,URINGU,KAMUTHANGA,63,8970
MIGORI COUNTY,MIGORI,ANJEGO,UGARI,70,8971
MERU COUNTY,IMENTI SOUTH,NKUBU,KIANJOGU,26,8972
MIGORI COUNTY,AWENDO,AWENDO,BONDO OTUCHI,40,8973
MIGORI COUNTY,RONGO,NYABURU,OPAPO,51,8974
MERU COUNTY,TIGANIA EAST,THANGATHA,ANTUANTHENGE,66,8975
MIGORI COUNTY,NYATIKE                                           ,AGENGA,AGENGA,79,8976
MIGORI COUNTY,MIGORI,ANJEGO,OTACHO,56,8977
MERU COUNTY,TIGANIA WEST,URINGU,KIMEREI,64,8978
MIGORI COUNTY,KURIA   WEST                                      ,KOKEHARAKA,NYAMOTAMBE,63,8979
MERU COUNTY,IMENTI SOUTH,NKUBU,BAITIGITU,30,8980
MIGORI COUNTY,AWENDO,AWENDO,OMBO-KWARE,20,8981
MIGORI COUNTY,NYATIKE                                           ,AGENGA,POM,83,8982
MIGORI COUNTY,RONGO,NYABURU,WINYO,44,8983
MERU COUNTY,TIGANIA EAST,THANGATHA,KIARAO,84,8984
MIGORI COUNTY,MIGORI,ANJEGO,FILGONA-UPANDIA,45,8985
MERU COUNTY,TIGANIA WEST,URINGU,LUBUNU,68,8986
MERU COUNTY,IMENTI SOUTH,NKUBU,GITIJIWE,32,8987
MIGORI COUNTY,KURIA   WEST                                      ,KOKEHARAKA,BIKARABWA,31,8988
MIGORI COUNTY,AWENDO,AWENDO,RAYWER,21,8989
MIGORI COUNTY,RONGO,RONGO,KAMONDI,98,8990
MIGORI COUNTY,NYATIKE                                           ,AGENGA,MODI,81,8991
MIGORI COUNTY,RONGO,KUJA,RAKWARO,48,8992
MERU COUNTY,IMENTI SOUTH,NKUBU,GANKONDI,34,8993
MIGORI COUNTY,KURIA   WEST                                      ,KOKEHARAKA,SIMBORI,42,8994
MERU COUNTY,TIGANIA EAST,THANGATHA,RARIMBU,94,8995
MERU COUNTY,TIGANIA WEST,URINGU,KALIATI,70,8996
MIGORI COUNTY,AWENDO,AWENDO,ALARA DAGO,18,8997
MIGORI COUNTY,RONGO,RONGO,ST. DALMAS,60,8998
MIGORI COUNTY,NYATIKE                                           ,AGENGA,ANGUGO,76,8999
MIGORI COUNTY,RONGO,KUJA,NYAOKE,59,9000
NAKURU COUNTY,RONGAI,NGATA,NGANO,47,10001
NAKURU COUNTY,RONGAI,RONGAI,ARUTANI,33,10002
NAKURU COUNTY,NAIVASHA,NAIVASHA C.,NAIVASHA HIGHWAY,35,10003
NAKURU COUNTY,RONGAI,RONGAI,A.I.C TULWOBMOI,30,10004
NAKURU COUNTY,RONGAI,RONGAI,KIROBON,28,10005
NAKURU COUNTY,NAKURU NORTH,BAHATI /BAHATI,BAHATI PCEA,49,10006
NAKURU COUNTY,RONGAI,RONGAI,LEGETIO,32,10007
NAKURU COUNTY,NAKURU NORTH,BAHATI /BAHATI,CENTRAL,53,10008
NAKURU COUNTY,RONGAI,RONGAI,BELBUR,64,10009
NAKURU COUNTY,RONGAI,RONGAI,MIMWAITA,37,10010
NAKURU COUNTY,RONGAI,SOLAI - RONGAI,RUIRU,32,10011
NAKURU COUNTY,NAKURU NORTH,BAHATI /BAHATI,MARIGO,40,10012
NAKURU COUNTY,RONGAI,RONGAI,BOROR,71,10013
NAKURU COUNTY,NAKURU NORTH,BAHATI /BAHATI,MURINGA,55,10014
NAKURU COUNTY,RONGAI,SOLAI - RONGAI,SIGITO,33,10015
NAKURU COUNTY,RONGAI,SOLAI - RONGAI,TESTAI,36,10016
NAKURU COUNTY,RONGAI,RONGAI,GICHEHA,52,10017
NAKURU COUNTY,SUBUKIA,KABAZI,EDGEWOOD,36,10018
NAKURU COUNTY,NAKURU NORTH,BAHATI /BAHATI,NYATHUNA,51,10019
NAKURU COUNTY,RONGAI,RONGAI,KANDUTURA,56,10020
NAKURU COUNTY,SUBUKIA,KABAZI,MBURU GICHUA,25,10021
NAKURU COUNTY,RONGAI,RONGAI,KANGA,54,10022
NAKURU COUNTY,NAKURU NORTH,BAHATI /BAHATI,OUR LADY OF FATIMA,55,10023
NAKURU COUNTY,SUBUKIA,MBOGO-INI,KAMOSOP,24,10024
NAKURU COUNTY,RONGAI,RONGAI,KERMA,40,10025
NAKURU COUNTY,NAKURU NORTH,BAHATI /BAHATI,ST. FRANCIS BAHATI,58,10026
NAKURU COUNTY,SUBUKIA,MBOGO-INI,MARANA,30,10027
NAKURU COUNTY,NAKURU NORTH,BAHATI /BAHATI,ST. PETERS ENGOSHURA,49,10028
NAKURU COUNTY,RONGAI,RONGAI,KIMANGU,38,10029
NAKURU COUNTY,SUBUKIA,MBOGO-INI,MIBARAK,37,10030
NAKURU COUNTY,NAKURU NORTH,DUNDORI/BAHATI,BAVUNI,56,10031
NAKURU COUNTY,RONGAI,RONGAI,KIPSYENAN,45,10032
NAKURU COUNTY,NAKURU NORTH,DUNDORI/BAHATI,KAMORONYO,38,10033
NAKURU COUNTY,RONGAI,RONGAI,MATUIKU,32,10034
NAKURU COUNTY,NAKURU NORTH,DUNDORI/BAHATI,KIANDA,56,10035
NAKURU COUNTY,RONGAI,RONGAI,MURICHO,72,10036
NAKURU COUNTY,KURESOI  SUB-COUNTY,MAU SUMMIT,MLIMA,72,10037
NAKURU COUNTY,RONGAI,RONGAI,RONGAI,40,10038
NAKURU COUNTY,NAKURU NORTH,DUNDORI/BAHATI,MERERONI,38,10039
NAKURU COUNTY,KURESOI  SUB-COUNTY,MAU SUMMIT,PELE,100,10040
NANDI COUNTY,NANDI CENTRAL,KILIBWONI,TULON,72,10041
NAKURU COUNTY,RONGAI,RONGAI,SHALOM,48,10042
NANDI COUNTY,NANDI CENTRAL,KILIBWONI,CHEPLASKEI ACADEMY,41,10043
NAKURU COUNTY,NAKURU NORTH,DUNDORI/BAHATI,MUGWATHI,55,10044
NAKURU COUNTY,KURESOI  SUB-COUNTY,MAU SUMMIT,TABAIN,55,10045
NAKURU COUNTY,SUBUKIA,MBOGO-INI,MIKIMA,33,10046
NAKURU COUNTY,KURESOI  SUB-COUNTY,MAU SUMMIT,TABORA,47,10047
NANDI COUNTY,NANDI CENTRAL,KILIBWONI,KAPCHUMBA,32,10048
NAKURU COUNTY,NAKURU NORTH,DUNDORI/BAHATI,TABUGA,72,10049
NAKURU COUNTY,RONGAI,RONGAI,THIRANDU,41,10050
NAKURU COUNTY,KURESOI  SUB-COUNTY,TEMOYETTA,BARINGO VALLEY,51,10051
NAKURU COUNTY,KURESOI  SUB-COUNTY,TEMOYETTA,NDEGE,47,10052
NAKURU COUNTY,RONGAI,SOLAI - RONGAI,AKUISI,74,10053
NANDI COUNTY,NANDI CENTRAL,KILIBWONI,NDUBENETI,28,10054
NAKURU COUNTY,NAKURU NORTH,DUNDORI/BAHATI,WANYORORO,68,10055
NAKURU COUNTY,SUBUKIA,MBOGO-INI,MWITEITHIA,30,10056
NAKURU COUNTY,NJORO,KIHINGO,GICHOBO,37,10057
NAKURU COUNTY,RONGAI,SOLAI - RONGAI,ARUS,58,10058
NANDI COUNTY,NANDI CENTRAL,KILIBWONI,A.I.C CHELILIAT ACADEMY,22,10059
NAKURU COUNTY,GILGIL,ELEMENTAITA,ELEMENTAITA,53,10060
NAKURU COUNTY,SUBUKIA,MBOGO-INI,NYAMAMITHI,30,10061
NAKURU COUNTY,NJORO,KIHINGO,KARIA-INI,39,10062
NAKURU COUNTY,RONGAI,SOLAI - RONGAI,BANITA,65,10063
NANDI COUNTY,NANDI CENTRAL,KILIBWONI,KAPCHEPSIR,35,10064
NAKURU COUNTY,GILGIL,ELEMENTAITA,KANORERO,77,10065
NAKURU COUNTY,NJORO,KIHINGO,KOILONGET,51,10066
NAKURU COUNTY,RONGAI,SOLAI - RONGAI,CHEMASIS,38,10067
NANDI COUNTY,NANDI CENTRAL,KILIBWONI,TERIGE,31,10068
NAKURU COUNTY,GILGIL,ELEMENTAITA,KAPKURES,67,10069
NAKURU COUNTY,NJORO,KIHINGO,KUSUMEK,28,10070
NAKURU COUNTY,RONGAI,SOLAI - RONGAI,EMARANGISHU,51,10071
NANDI COUNTY,NANDI CENTRAL,KOSIRAI/KAPSABET,CHEPTERIT,53,10072
NAKURU COUNTY,GILGIL,ELEMENTAITA,KIAMBOGO TOWNSHIP,72,10073
NAKURU COUNTY,SUBUKIA,SUBUKIA,CHANIA,36,10074
NAKURU COUNTY,NJORO,KIHINGO,LULUKWET,57,10075
NAKURU COUNTY,RONGAI,SOLAI - RONGAI,MAJANI MINGI,75,10076
NANDI COUNTY,NANDI CENTRAL,KOSIRAI/KAPSABET,KAMONJIL,32,10077
NAKURU COUNTY,GILGIL,ELEMENTAITA,MAKONGO,60,10078
NAKURU COUNTY,SUBUKIA,SUBUKIA,MORRO HILL,21,10079
NAKURU COUNTY,NJORO,KIHINGO,MWIGITO,59,10080
NAKURU COUNTY,RONGAI,SOLAI - RONGAI,NGENDAPTICH,30,10081
NANDI COUNTY,NANDI CENTRAL,KOSIRAI/KAPSABET,A.I.C KOSIRAI A.C,11,10082
NAKURU COUNTY,GILGIL,ELEMENTAITA,MITI MINGI,48,10083
NAKURU COUNTY,GILGIL,ELEMENTAITA,MUGAA,40,10084
NANDI COUNTY,NANDI CENTRAL,KOSIRAI/KAPSABET,A.I.C KUNURTER,26,10085
NAKURU COUNTY,RONGAI,SOLAI - RONGAI,SETKOBOR,35,10086
NAKURU COUNTY,NJORO,KIHINGO,NJUGUINI,52,10087
NAKURU COUNTY,KURESOI,KURESOI,KIPKEWA,48,10088
NAKURU COUNTY,GILGIL,ELEMENTAITA,NDERIT,46,10089
NANDI COUNTY,NANDI SOUTH,KIBWARENG ,KAPKOI,103,10090
NAKURU COUNTY,SUBUKIA,KABAZI,GITURA,48,10091
NAKURU COUNTY,NJORO,KIHINGO,SUBUKU,67,10092
NAKURU COUNTY,MOLO,ELBURGON,ARIMI,77,10093
NAKURU COUNTY,GILGIL,ELEMENTAITA,NDIBAI,60,10094
NANDI COUNTY,NANDI SOUTH,KIBWARENG ,CHEPKIWIS,47,10095
NAKURU COUNTY,SUBUKIA,KABAZI,KAMEMO,50,10096
NAKURU COUNTY,NJORO,KIHINGO,TERET,58,10097
NAKURU COUNTY,MOLO,ELBURGON,LAWINA,35,10098
NAKURU COUNTY,GILGIL,ELEMENTAITA,NJERU,50,10099
NANDI COUNTY,NANDI SOUTH,MARABA,CHEPKEBUGE,127,10100
NAKURU COUNTY,SUBUKIA,KABAZI,KIENI,66,10101
NAKURU COUNTY,NJORO,LARE,KAROGOE,46,10102
NAKURU COUNTY,NJORO,LARE,KERIKO,75,10103
NAKURU COUNTY,GILGIL,KARUNGA,GITARE,42,10104
NANDI COUNTY,NANDI SOUTH,MARABA,KIMAREN,94,10105
NAKURU COUNTY,SUBUKIA,KABAZI,MUNYAKA,69,10106
NAKURU COUNTY,MOLO,ELBURGON,MICHINDA BOYS,40,10107
NAKURU COUNTY,NJORO,LARE,KILO,60,10108
NAKURU COUNTY,GILGIL,KARUNGA,KOMOTHAI,47,10109
NANDI COUNTY,NANDI SOUTH,MARABA,MORONGIOT,74,10110
NAKURU COUNTY,SUBUKIA,KABAZI,SIDAI,75,10111
NAKURU COUNTY,MOLO,ELBURGON,MUTATE,66,10112
NAKURU COUNTY,NJORO,LARE,KIRIRI,38,10113
NAKURU COUNTY,GILGIL,KARUNGA,NGUMO,52,10114
NANDI COUNTY,NANDI SOUTH,MARABA,SAMOGET,60,10115
NAKURU COUNTY,SUBUKIA,MBOGO-INI,GAKINGI,41,10116
NAKURU COUNTY,MOLO,ELBURGON,MWANGI MUCHUKI,40,10117
NAKURU COUNTY,NJORO,LARE,MAHIGA,57,10118
NAKURU COUNTY,GILGIL,MBARUK,ECHARIRIA,40,10119
NANDI COUNTY,NANDI SOUTH,MARABA,MOGOMBEN,47,10120
NAKURU COUNTY,SUBUKIA,MBOGO-INI,GATAGATI,66,10121
NAKURU COUNTY,NJORO,LARE,MILIMANI,44,10122
NAKURU COUNTY,GILGIL,MBARUK,GILGIL D.E.B,67,10123
NANDI COUNTY,NANDI SOUTH,MARABA,KOBUJOI,63,10124
NAKURU COUNTY,SUBUKIA,MBOGO-INI,LARI,64,10125
NAKURU COUNTY,MOLO,ELBURGON,NDOSWA,56,10126
NAKURU COUNTY,NJORO,LARE,MUTHIGA,50,10127
NAKURU COUNTY,GILGIL,MBARUK,ITHERERO,42,10128
NANDI COUNTY,NANDI EAST,MOGOBICH,KAPCHORA,79,10129
NAKURU COUNTY,SUBUKIA,MBOGO-INI,OLMANYATTA,69,10130
NAKURU COUNTY,MOLO,ELBURGON,NYAKIAMBI,68,10131
NAKURU COUNTY,NJORO,LARE,NDEMI,52,10132
NAKURU COUNTY,GILGIL,MBARUK,KARIANDUSI,61,10133
NANDI COUNTY,NANDI EAST,MOGOBICH,TAITO,43,10134
NAKURU COUNTY,SUBUKIA,MBOGO-INI,WIYUMIRIRIE,60,10135
NAKURU COUNTY,GILGIL,MBARUK,N.Y.S GILGIL,58,10136
NANDI COUNTY,NANDI EAST,MOGOBICH,KAPTIEN,30,10137
NAKURU COUNTY,NJORO,LARE,NDURIRI,37,10138
NAKURU COUNTY,MOLO,ELBURGON,OINOPTICH,100,10139
NAKURU COUNTY,SUBUKIA,SUBUKIA,KIANYORO,59,10140
NAKURU COUNTY,GILGIL,MBARUK,SONGOLOI,54,10141
NANDI COUNTY,NANDI EAST,MOGOBICH,KAPUTI,73,10142
NAKURU COUNTY,NJORO,LARE,NGURIGA,29,10143
NAKURU COUNTY,SUBUKIA,SUBUKIA,LOOREMETA,68,10144
NAKURU COUNTY,MOLO,ELBURGON,ROSEWOOD,69,10145
NAKURU COUNTY,GILGIL,MBARUK,THUGUNUI,51,10146
NANDI COUNTY,NANDI EAST,MOGOBICH,KIPSEBWO,43,10147
NAKURU COUNTY,NJORO,MAUCHE,CHEBITET,55,10148
NAKURU COUNTY,SUBUKIA,SUBUKIA,MWIRERI,37,10149
NAKURU COUNTY,SUBUKIA,SUBUKIA,SAFINA HAJI,53,10150
NANDI COUNTY,NANDI EAST,NANDI HILLS,KOSOIYWO,68,10151
NAKURU COUNTY,NJORO,MAUCHE,CHORWET,60,10152
NAKURU COUNTY,KURESOI  SUB-COUNTY,AMALO,KAPLAMBOI,28,10153
NAKURU COUNTY,MOLO,ELBURGON,SAKAITIM,43,10154
NAKURU COUNTY,SUBUKIA,SUBUKIA,WEI,65,10155
NANDI COUNTY,NANDI EAST,NANDI HILLS,KIBWARI,67,10156
NAKURU COUNTY,NJORO,MAUCHE,EWAAT,50,10157
NAKURU COUNTY,KURESOI  SUB-COUNTY,AMALO,KIPLEMEIYWO,42,10158
NAKURU COUNTY,NJORO,LARE,MWENYERE,30,10159
NANDI COUNTY,NANDI EAST,NANDI HILLS,BARASENDU,78,10160
NAKURU COUNTY,NJORO,MAUCHE,KIMUGUL,47,10161
NAKURU COUNTY,KURESOI  SUB-COUNTY,AMALO,LONGET,41,10162
NAKURU COUNTY,NJORO,MAUCHE,MUTUMBURU,30,10163
NANDI COUNTY,NANDI EAST,NANDI HILLS,KIPSAMO,46,10164
NAKURU COUNTY,NJORO,MAUCHE,LUSIRU,58,10165
NAKURU COUNTY,KURESOI  SUB-COUNTY,CHEPTUECH,CHEPTEBES,42,10166
NAKURU COUNTY,MOLO,ELBURGON,ST. JAMES,46,10167
NANDI COUNTY,NANDI CENTRAL ,KAPSABET ZONE,Kapsabet High Primary/Township,50,10168
NANDI COUNTY,NANDI NORTH,KABISAGA,CHEPTIL,61,10169
NAKURU COUNTY,NJORO,MAUCHE,MAUCHE,42,10170
NAKURU COUNTY,KURESOI  SUB-COUNTY,CHEPTUECH,CHEPTUECH,28,10171
NAKURU COUNTY,MOLO,ELBURGON,ST. JOSEPH'S,41,10172
NANDI COUNTY,NANDI EAST ,NANDI HILLS ZONE,St Mathias Kapkwang,10,10173
NANDI COUNTY,NANDI NORTH,KABISAGA,KAPKORIO,42,10174
NAKURU COUNTY,NJORO,MAUCHE,MUTIRIMA,60,10175
NAKURU COUNTY,KURESOI  SUB-COUNTY,CHEPTUECH,CHIKAMBA,30,10176
NANDI COUNTY,NANDI SOUTH ,MUGEN ZONE,Kipkongen,60,10177
NANDI COUNTY,NANDI NORTH,KABISAGA,EISERO,38,10178
NAKURU COUNTY,NJORO,MAUCHE,TEBESWET,50,10179
NAKURU COUNTY,KURESOI  SUB-COUNTY,CHEPTUECH,EMITIK,28,10180
NAKURU COUNTY,MOLO,MOLO CENTRAL,KAPSOROK,46,10181
NANDI COUNTY,NANDI CENTRAL ,CHEMUNDU ZONE,KAPKECHUI,55,10182
